,mape,mae,mse,r2,time_step,filters,kernel_sizes,dilation_rates,unit_num
0,0.048254457461323313,3.326046511627905,32.24774418604649,-142.23207139253955,20,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.04793219776365716,3.3179069767441844,30.54840232558137,-654.5207690682954,20,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.04777238520526225,3.2669767441860458,33.33762790697672,-195.16148173323785,20,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.0523382004573896,3.6799999999999975,28.87305116279068,-122.78254208065702,20,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.048770395906718715,3.3511627906976735,33.10865581395346,-148.69379113847015,20,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.05344995464792335,3.7276744186046504,32.047946511627885,-98.95022969947802,20,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.04904617140835809,3.3809302325581383,32.5326837209302,-137.3237500994547,20,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.048620135088670094,3.421162790697672,27.056193023255794,-39.13149385524124,20,64,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.04948641310892048,3.398372093023255,33.46875116279068,-216.69223833826416,20,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.049028420707546254,3.415116279069768,30.19648139534883,-194.51581227947514,20,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.05157990438564943,3.576046511627905,32.71343023255811,-111.43634377373505,20,128,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.04835368987727889,3.3325581395348824,31.786479069767413,-236.68201196554784,20,128,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.050505509122102325,3.5225581395348837,30.472188372093015,-103.05626691468413,20,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.04837881693531695,3.3383720930232545,31.660030232558125,-463.04741592522356,20,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.04842667841435354,3.3448837209302336,31.90394651162788,-180.7276583382826,20,128,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.04771363130041664,3.278372093023256,32.5486395348837,-384.4774429877698,20,128,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.05283128789066358,3.675581395348836,32.85024418604648,-110.616845588992,20,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.04910700449280543,3.333255813953488,35.656341860465105,-353.7365923029147,20,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.02007452131047193,1.3852173913043473,2.9443826086956504,-11.52257890234564,40,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.026318109987352657,1.8378260869565222,5.1674130434782635,-34.9381236606495,40,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.017208706512424683,1.1756521739130443,2.0221043478260916,-5.9607405749268665,40,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.029156061608208408,2.0473913043478245,6.422047826086949,-16.175782557390523,40,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.017278708528610045,1.1869565217391302,2.2313739130434755,-9.052552064083052,40,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.023599974070034214,1.639130434782607,4.0210173913043405,-39.882061709839945,40,64,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.020117444972240404,1.3726086956521713,2.521299999999994,-9.305109875930775,40,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.02177175097397082,1.499565217391303,2.975308695652168,-22.002453788684793,40,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.019189305172587483,1.3152173913043472,2.2911521739130407,-431.43167546741023,40,128,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.018920154408776927,1.295652173913044,2.2153652173913074,0.0,40,128,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.02099172797406935,1.4165217391304359,2.5713565217391334,-7.096991443752232,40,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.018381658205898724,1.2534782608695676,2.039700000000005,-61.5065924389707,40,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.018920154408776927,1.295652173913044,2.2153652173913074,0.0,40,128,"[5, 7, 9]","[1, 2, 4, 8]",64
