,mape,mae,mse,r2,time_step,filters,kernel_sizes,dilation_rates,unit_num
0,0.028115082578208293,1.946,6.431232000000003,-2.719210059258855,20,32,"[3, 5, 7]","[1, 2, 4]",16
0,0.02694313583244506,1.8741999999999992,6.177797999999997,-193.01754443266245,20,32,"[3, 5, 7]","[1, 2, 4]",32
0,0.02758454895841881,1.9131999999999993,6.577348,-5085.260014228747,20,32,"[3, 5, 7]","[1, 2, 4]",64
0,0.027723600692440883,1.9218000000000017,6.665794000000014,0.0,20,32,"[3, 5, 7]","[1, 2, 4, 8]",16
0,0.027479615226798423,1.906,6.565639999999999,-5011.091972274337,20,32,"[3, 5, 7]","[1, 2, 4, 8]",32
0,0.027373589750083784,1.9000000000000012,6.498632000000007,-3315627.571434606,20,32,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.02933712570447533,2.0264,7.084452000000003,-24.802082536630092,20,32,"[5, 7, 9]","[1, 2, 4]",16
0,0.026964024341473644,1.8733999999999993,6.191694,-194.1137841844157,20,32,"[5, 7, 9]","[1, 2, 4]",32
0,0.027568706397808132,1.9132000000000005,6.563824,-4289.193207665356,20,32,"[5, 7, 9]","[1, 2, 4]",64
0,0.027379215501058388,1.9002,6.506398000000002,-69039.72580648394,20,32,"[5, 7, 9]","[1, 2, 4, 8]",16
0,0.027762227672774486,1.9241999999999997,6.685353999999998,0.0,20,32,"[5, 7, 9]","[1, 2, 4, 8]",32
0,0.027603063485622532,1.916,6.552508000000005,-115.96988651658856,20,32,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.027367427000076473,1.8994000000000006,6.532826000000007,-502.29938366718636,20,32,"[4, 8, 12]","[1, 2, 4]",16
0,0.02778718212456559,1.9287999999999992,6.522691999999998,-220.96022970889092,20,32,"[4, 8, 12]","[1, 2, 4]",32
0,0.027805464826603076,1.9271999999999994,6.690331999999996,-43726.660130722594,20,32,"[3, 5, 7]","[1, 2, 4, 8]",16
0,0.027479615226798423,1.906,6.565639999999999,-5011.091972274337,20,32,"[3, 5, 7]","[1, 2, 4, 8]",32
0,0.027373589750083784,1.9000000000000012,6.498632000000007,-3315627.571434606,20,32,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.027379215501058388,1.9002,6.506398000000002,-69039.72580648394,20,32,"[5, 7, 9]","[1, 2, 4, 8]",16
0,0.027762227672774486,1.9241999999999997,6.685353999999998,0.0,20,32,"[5, 7, 9]","[1, 2, 4, 8]",32
0,0.027376458723526887,1.900200000000001,6.498754000000006,-3.218027112826412e+28,20,32,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.02707030071377029,1.878800000000001,6.474564,-345.46385081840447,20,64,"[3, 5, 7]","[1, 2, 4, 8]",16
0,0.028011069635943384,1.9419999999999995,6.747119999999998,-433.59262255590215,20,64,"[3, 5, 7]","[1, 2, 4, 8]",32
0,0.027501240354602247,1.9077999999999988,6.561329999999993,-14443.63279323877,20,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.027183226170338387,1.8877999999999997,6.382141999999998,-2876.7424067528855,20,64,"[5, 7, 9]","[1, 2, 4, 8]",16
0,0.02778232258874572,1.9258000000000015,6.674754000000014,-8512.716836735677,20,64,"[5, 7, 9]","[1, 2, 4, 8]",32
0,0.027712070496016428,1.921000000000002,6.664470000000012,-209310.2437186064,20,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.03867782208535774,2.6799999999999993,15.671115999999978,-1998865.83673682,40,32,"[3, 5, 7]","[1, 2, 4, 8]",16
0,0.038689272343776004,2.6803999999999997,15.687643999999992,-980476.7499996929,40,32,"[3, 5, 7]","[1, 2, 4, 8]",32
0,0.038672247077500346,2.6795999999999993,15.668543999999983,0.0,40,32,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.038450014405070586,2.6691999999999996,15.425235999999991,-7.6382069039305e+28,40,32,"[5, 7, 9]","[1, 2, 4, 8]",16
0,0.03866896622243714,2.6793999999999993,15.667453999999985,-2777916.3758915747,40,32,"[5, 7, 9]","[1, 2, 4, 8]",32
0,0.038688664183075115,2.6806000000000005,15.668817999999998,-329452.700588678,40,32,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.038429526856383824,2.6679999999999997,15.40809999999999,-212114.91409692555,40,64,"[3, 5, 7]","[1, 2, 4, 8]",16
0,0.03843029065557464,2.6679999999999997,15.410879999999986,-275193.2857143,40,64,"[3, 5, 7]","[1, 2, 4, 8]",32
0,0.03867185895694945,2.6796,15.66509599999999,-979067.5000003891,40,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.03834078546339108,2.6613999999999987,15.353673999999987,-853.7883415840969,40,64,"[5, 7, 9]","[1, 2, 4, 8]",16
0,0.03840994159041164,2.6666,15.404669999999989,-100788.51845067233,40,64,"[5, 7, 9]","[1, 2, 4, 8]",32
0,0.038672247077500346,2.6795999999999993,15.668543999999983,0.0,40,64,"[5, 7, 9]","[1, 2, 4, 8]",64
