,real,pred
0,83.35,67.58
1,83.35,67.84
2,83.35,68.52
3,83.35,67.73
4,66.93,67.53
5,83.35,68.2
6,83.35,68.21
7,66.99,68.52
8,69.13,67.77
9,67.85,67.72
10,70.02,68.14
11,68.66,67.82
12,70.85,68.3
13,66.66,68.05
14,70.56,68.13
15,66.52,69.04
16,65.9,68.68
17,68.2,69.55
18,69.9,69.41
19,66.29,69.94
20,70.0,69.01
21,65.95,68.59
22,69.53,68.02
23,68.53,67.49
24,67.14,68.07
25,66.68,67.82
26,68.29,67.75
27,66.89,67.8
28,67.47,68.1
29,67.89,69.11
30,68.83,68.81
31,69.56,68.9
32,66.12,69.34
33,69.9,68.46
34,70.27,68.44
35,68.0,68.8
36,69.9,68.57
37,66.21,68.54
38,67.44,69.03
39,69.16,69.01
40,69.12,69.3
41,66.46,69.25
42,65.9,69.52
