,real,pred
0,83.35,68.17
1,83.35,67.91
2,83.35,67.53
3,83.35,67.88
4,66.93,67.62
5,83.35,68.39
6,83.35,68.51
7,66.99,69.64
8,69.13,69.48
9,67.85,70.42
10,70.02,70.27
11,68.66,70.85
12,70.85,70.84
13,66.66,71.96
14,70.56,71.22
15,66.52,72.03
16,65.9,69.8
17,68.2,70.97
18,69.9,69.58
19,66.29,70.47
20,70.0,68.25
21,65.95,67.51
22,69.53,67.29
23,68.53,68.0
24,67.14,68.39
25,66.68,68.2
26,68.29,67.21
27,66.89,69.57
28,67.47,68.83
29,67.89,69.36
30,68.83,69.51
31,69.56,69.24
32,66.12,69.54
33,69.9,69.75
34,70.27,70.37
35,68.0,68.82
36,69.9,68.91
37,66.21,69.75
38,67.44,69.58
39,69.16,69.65
40,69.12,70.32
41,66.46,70.39
42,65.9,69.81
