,real,pred
0,69.54,70.5
1,66.56,70.9
2,66.44,70.47
3,74.56,70.35
4,73.74,70.57
5,72.19,70.56
6,74.42,70.2
7,73.11,70.08
8,73.3,69.9
9,73.63,70.1
10,67.15,70.01
11,68.82,69.98
12,68.56,70.07
13,71.96,70.23
14,68.18,70.21
15,72.67,70.1
16,78.76,69.85
17,68.43,69.99
18,70.34,70.01
19,66.68,70.04
20,68.21,69.84
21,70.98,69.74
22,71.39,70.35
23,71.0,70.08
24,68.02,70.19
25,73.62,70.09
26,70.34,70.1
27,69.14,70.03
28,69.58,69.92
29,66.75,69.9
30,70.25,69.72
31,65.99,69.65
32,67.38,69.62
33,69.22,70.11
34,70.26,70.41
35,66.02,70.0
36,68.78,69.76
37,69.55,69.49
38,65.92,69.22
39,70.97,69.69
40,70.88,69.48
41,69.68,69.7
42,68.87,69.67
43,68.27,69.98
44,65.36,69.61
45,67.17,69.38
46,83.35,68.89
47,65.78,69.0
48,83.35,69.15
49,71.31,69.06
50,65.38,69.09
51,83.36,69.48
52,61.82,69.37
53,83.35,69.0
54,65.7,69.12
55,68.7,69.15
56,70.44,69.53
57,83.35,69.04
58,83.35,69.48
59,65.48,69.44
60,69.07,69.64
61,83.35,69.52
62,70.97,69.42
63,83.35,69.39
64,66.48,69.44
65,70.33,69.49
66,66.72,69.51
67,67.66,69.8
68,83.35,69.64
69,83.35,69.17
70,67.66,69.3
71,83.36,69.14
72,83.35,69.42
73,68.09,69.1
74,71.48,68.97
75,67.64,69.23
76,72.45,68.83
77,71.74,68.95
78,73.24,69.08
79,72.59,69.13
80,71.31,69.01
81,70.66,69.02
82,71.52,69.48
83,69.75,69.05
84,71.46,69.05
85,71.39,69.4
86,71.0,69.64
87,66.38,69.82
88,71.19,69.5
89,66.95,69.78
90,66.6,69.81
91,71.02,69.66
92,66.74,69.2
93,71.14,69.19
94,67.45,69.16
95,70.31,69.54
96,71.14,69.84
97,66.13,69.66
98,70.35,69.98
99,66.12,69.95
100,65.51,70.03
101,69.58,69.67
102,71.26,69.45
103,66.68,69.93
104,71.86,69.49
105,70.42,69.26
106,72.22,69.56
107,69.85,69.52
108,67.19,69.46
109,67.63,69.4
110,71.21,69.5
111,66.94,69.35
112,66.63,69.21
113,69.43,69.34
114,65.93,69.27
115,68.63,69.08
116,70.53,69.06
117,70.69,68.99
118,65.17,69.13
119,70.89,69.02
120,71.07,69.24
121,71.04,69.3
122,69.09,69.43
123,69.63,69.75
124,66.69,69.63
125,70.65,69.56
126,66.5,70.0
127,70.18,69.83
128,66.2,69.6
129,64.61,69.48
130,72.17,69.14
131,70.35,69.03
132,70.72,69.18
133,69.87,69.05
134,60.98,69.12
135,74.52,69.46
136,68.9,69.65
137,68.87,69.58
138,67.58,69.52
139,65.05,69.46
140,60.93,69.52
141,69.22,69.32
142,70.81,69.22
143,65.92,68.86
144,69.42,68.79
145,69.82,69.09
146,68.67,68.76
147,69.48,69.02
148,69.91,69.86
149,69.64,69.68
150,69.56,69.41
151,69.35,69.35
152,69.4,69.36
153,69.03,69.55
154,68.75,69.71
155,68.81,69.5
156,69.92,69.07
157,68.15,69.15
158,76.4,69.17
159,72.03,69.18
160,71.01,69.27
161,73.21,69.08
162,70.85,69.11
163,58.36,69.21
164,71.26,69.47
165,67.85,69.52
166,66.12,69.42
167,65.87,69.28
168,69.75,69.12
