,real,pred
0,69.23,69.62
1,67.09,69.68
2,71.03,69.64
3,68.71,69.71
4,70.72,69.76
5,70.16,69.69
6,71.55,69.64
7,70.2,69.8
8,68.51,69.71
9,70.65,69.72
10,70.37,69.69
11,70.93,69.54
12,70.58,69.74
13,70.41,69.78
14,70.43,69.86
15,68.91,69.78
16,69.1,69.9
17,68.12,69.81
18,67.5,69.8
19,69.42,69.81
20,69.54,69.9
21,66.56,69.82
22,66.44,69.81
23,74.56,69.76
24,73.74,69.93
25,72.19,69.97
26,74.42,70.06
27,73.11,70.0
28,73.3,69.95
29,73.63,70.02
30,67.15,69.88
31,68.82,69.77
32,68.56,69.87
33,71.96,69.81
34,68.18,69.92
35,72.67,69.82
36,68.43,69.92
37,70.34,69.72
38,66.68,69.86
39,68.21,69.92
40,70.98,69.71
41,71.39,69.89
42,71.0,69.91
43,68.02,69.87
44,73.62,69.93
45,70.34,69.92
46,69.14,69.78
47,69.58,69.78
48,66.75,69.82
49,70.25,69.63
50,65.99,69.56
51,67.38,69.47
52,69.22,69.53
53,70.26,69.57
54,66.02,69.46
55,68.78,69.53
56,69.55,69.44
57,65.92,69.5
58,70.97,69.33
59,70.88,69.21
60,69.68,69.21
61,68.87,69.19
62,68.27,69.21
63,65.36,69.33
64,67.17,69.52
65,65.78,69.49
66,71.31,69.32
67,65.38,69.24
68,65.7,69.25
69,68.7,69.4
70,70.44,69.35
71,65.48,69.26
72,69.07,69.62
73,70.97,69.6
74,66.48,69.4
75,70.33,69.36
76,66.72,69.51
77,67.66,69.59
78,67.66,69.49
79,68.09,69.65
80,71.48,69.57
81,67.64,69.43
82,72.45,69.64
83,71.74,69.56
84,73.24,69.52
85,72.59,69.45
86,71.31,69.6
87,70.66,69.68
88,71.52,69.86
89,69.75,69.87
90,71.46,69.87
91,71.39,69.77
92,71.0,69.7
93,66.38,69.74
94,71.19,69.77
95,66.95,69.57
96,66.6,69.73
97,71.02,69.83
98,66.74,69.89
99,71.14,69.85
100,67.45,69.98
101,70.31,69.95
102,71.14,69.92
103,66.13,69.79
104,70.35,69.87
105,66.12,69.84
106,65.51,69.87
107,69.58,69.61
108,71.26,69.55
109,66.68,69.44
110,71.86,69.48
111,70.42,69.5
112,72.22,69.4
113,69.85,69.31
114,67.19,69.33
115,67.63,69.43
116,71.21,69.45
117,66.94,69.41
118,66.63,69.33
119,69.43,69.46
120,65.93,69.25
121,68.63,69.23
122,70.53,69.34
123,70.69,69.38
124,65.17,69.31
125,70.89,69.35
126,71.07,69.26
127,71.04,69.27
128,69.09,69.4
129,69.63,69.35
130,66.69,69.39
131,70.65,69.48
132,66.5,69.49
133,70.18,69.28
134,66.2,69.19
135,64.61,69.19
136,72.17,69.5
137,70.35,69.42
138,70.72,69.51
139,69.87,69.52
140,74.52,69.36
141,68.9,69.34
142,68.87,69.38
143,67.58,69.35
144,65.05,69.33
145,69.22,69.56
146,70.81,69.51
147,65.92,69.38
148,69.42,69.55
149,69.82,69.44
150,68.67,69.36
151,69.48,69.51
152,69.91,69.77
153,69.64,69.69
154,69.56,69.63
155,69.35,69.76
156,69.4,69.68
157,69.03,69.75
158,68.75,69.84
159,68.81,69.83
160,69.92,69.75
161,68.15,69.62
162,72.03,69.6
163,71.01,69.61
164,70.85,69.53
165,71.26,69.32
166,67.85,69.35
167,66.12,69.42
168,65.87,69.37
169,69.75,69.48
