,real,pred
0,69.71,69.37
1,69.23,69.37
2,67.09,69.2
3,71.03,69.37
4,68.71,69.38
5,70.72,69.37
6,70.16,69.34
7,71.55,69.37
8,70.2,69.3
9,68.51,69.37
10,70.65,69.37
11,70.37,69.37
12,70.93,69.38
13,70.58,69.34
14,70.41,69.38
15,70.43,69.37
16,68.91,69.37
17,69.1,69.25
18,68.12,69.29
19,67.5,69.31
20,69.42,69.35
21,69.54,69.36
22,66.56,69.37
23,66.44,69.36
24,74.56,69.29
25,73.74,69.33
26,72.19,69.38
27,74.42,69.38
28,73.11,69.38
29,73.3,69.38
30,73.63,69.37
31,67.15,69.38
32,68.82,69.38
33,68.56,69.38
34,71.96,69.38
35,68.18,69.38
36,72.67,69.38
37,78.76,69.37
38,68.43,69.38
39,70.34,69.38
40,66.68,69.38
41,68.21,69.37
42,70.98,69.38
43,71.39,69.37
44,71.0,69.38
45,68.02,69.38
46,73.62,69.38
47,70.34,69.37
48,69.14,69.38
49,69.58,69.37
50,66.75,69.37
51,70.25,69.37
52,65.99,69.37
53,67.38,69.37
54,69.22,69.37
55,70.26,69.38
56,66.02,69.38
57,68.78,69.38
58,69.55,69.38
59,65.92,69.38
60,70.97,69.37
61,70.88,69.37
62,69.68,69.37
63,68.87,69.31
64,68.27,69.37
65,65.36,69.37
66,67.17,69.37
67,83.35,69.37
68,65.78,69.37
69,83.35,69.37
70,71.31,69.35
71,65.38,69.34
72,83.36,69.37
73,83.35,69.37
74,65.7,69.37
75,68.7,69.38
76,70.44,69.38
77,83.35,69.37
78,83.35,69.37
79,65.48,69.37
80,69.07,69.37
81,83.35,69.38
82,70.97,69.38
83,83.35,69.37
84,66.48,69.37
85,70.33,69.37
86,66.72,69.37
87,67.66,69.37
88,83.35,69.37
89,83.35,69.37
90,67.66,69.34
91,83.36,69.37
92,83.35,69.37
93,68.09,69.37
94,71.48,69.38
95,67.64,69.36
96,72.45,69.3
97,71.74,69.28
98,73.24,69.21
99,72.59,69.26
100,71.31,69.23
101,70.66,69.38
102,71.52,69.37
103,69.75,69.38
104,71.46,69.38
105,71.39,69.38
106,71.0,69.38
107,66.38,69.38
108,71.19,69.38
109,66.95,69.37
110,66.6,69.37
111,71.02,69.38
112,66.74,69.38
113,71.14,69.37
114,67.45,69.37
115,70.31,69.37
116,71.14,69.37
117,66.13,69.38
118,70.35,69.38
119,66.12,69.38
120,65.51,69.38
121,69.58,69.37
122,71.26,69.37
123,66.68,69.38
124,71.86,69.38
125,70.42,69.38
126,72.22,69.37
127,69.85,69.38
128,67.19,69.38
129,67.63,69.37
130,71.21,69.37
131,66.94,69.37
132,66.63,69.37
133,69.43,69.37
134,65.93,69.37
135,68.63,69.37
136,70.53,69.38
137,70.69,69.37
138,65.17,69.37
139,70.89,69.37
140,71.07,69.38
141,71.04,69.4
142,69.09,69.38
143,69.63,69.4
144,66.69,69.45
145,70.65,69.37
146,66.5,69.37
147,70.18,69.37
148,66.2,69.38
149,64.61,69.37
150,72.17,69.37
151,70.35,69.37
152,70.72,69.38
153,69.87,69.38
154,74.52,69.38
155,68.9,69.38
156,68.87,69.38
157,67.58,69.38
158,65.05,69.38
159,69.22,69.38
160,70.81,69.38
161,65.92,69.38
162,69.42,69.38
163,69.82,69.38
164,68.67,69.37
165,69.48,69.37
166,69.91,69.36
167,69.64,69.37
168,69.56,69.37
169,69.35,69.37
170,69.4,69.37
171,69.03,69.37
172,68.75,69.37
173,68.81,69.37
174,69.92,69.37
175,68.15,69.37
176,76.4,69.38
177,72.03,69.37
178,71.01,69.37
179,70.85,69.37
180,71.26,69.38
181,67.85,69.37
182,66.12,69.38
183,65.87,69.38
184,69.75,69.38
