,real,pred
0,69.71,69.42
1,69.23,69.84
2,67.09,69.55
3,71.03,69.42
4,68.71,69.6
5,70.72,69.44
6,70.16,69.42
7,71.55,69.41
8,70.2,69.26
9,68.51,69.44
10,70.65,70.2
11,70.37,69.39
12,70.93,69.69
13,70.58,69.89
14,70.41,69.69
15,70.43,69.46
16,68.91,69.44
17,69.1,69.47
18,68.12,69.46
19,67.5,69.24
20,69.42,69.58
21,69.54,70.14
22,66.56,69.53
23,66.44,69.46
24,74.56,69.48
25,73.74,69.58
26,72.19,69.68
27,74.42,69.61
28,73.11,69.64
29,73.3,69.58
30,73.63,69.5
31,67.15,69.44
32,68.82,69.63
33,68.56,69.53
34,71.96,69.55
35,68.18,69.6
36,72.67,69.58
37,78.76,69.7
38,68.43,69.77
39,70.34,69.6
40,66.68,69.61
41,68.21,69.61
42,70.98,69.3
43,71.39,69.5
44,71.0,69.52
45,68.02,69.5
46,73.62,69.59
47,70.34,69.74
48,69.14,69.62
49,69.58,69.52
50,66.75,69.53
51,70.25,69.35
52,65.99,69.39
53,67.38,69.5
54,69.22,69.41
55,70.26,69.17
56,66.02,69.39
57,68.78,69.38
58,69.55,70.28
59,65.92,69.38
60,70.97,69.4
61,70.88,69.35
62,69.68,69.41
63,68.87,69.38
64,68.27,69.38
65,65.36,69.39
66,67.17,69.26
67,83.35,69.36
68,65.78,69.37
69,83.35,69.36
70,71.31,69.38
71,65.38,69.39
72,83.36,69.36
73,83.35,69.33
74,65.7,69.36
75,68.7,69.36
76,70.44,70.14
77,83.35,69.38
78,83.35,69.35
79,65.48,69.38
80,69.07,69.33
81,83.35,69.32
82,70.97,69.32
83,83.35,69.43
84,66.48,69.28
85,70.33,69.33
86,66.72,69.33
87,67.66,69.28
88,83.35,69.26
89,83.35,69.37
90,67.66,69.39
91,83.36,69.39
92,83.35,69.36
93,68.09,69.35
94,71.48,69.59
95,67.64,69.4
96,72.45,69.42
97,71.74,69.39
98,73.24,68.99
99,72.59,69.86
100,71.31,69.37
101,70.66,69.34
102,71.52,69.33
103,69.75,69.58
104,71.46,69.53
105,71.39,70.27
106,71.0,69.81
107,66.38,69.05
108,71.19,69.51
109,66.95,69.91
110,66.6,68.88
111,71.02,69.56
112,66.74,69.59
113,71.14,69.58
114,67.45,69.38
115,70.31,69.69
116,71.14,69.63
117,66.13,69.59
118,70.35,69.63
119,66.12,69.68
120,65.51,69.4
121,69.58,69.72
122,71.26,69.49
123,66.68,69.56
124,71.86,70.11
125,70.42,69.31
126,72.22,69.71
127,69.85,69.49
128,67.19,69.63
129,67.63,69.49
130,71.21,69.53
131,66.94,69.51
132,66.63,69.22
133,69.43,69.4
134,65.93,69.45
135,68.63,69.43
136,70.53,69.28
137,70.69,69.54
138,65.17,69.15
139,70.89,69.39
140,71.07,69.67
141,71.04,69.44
142,69.09,69.52
143,69.63,69.59
144,66.69,69.41
145,70.65,69.35
146,66.5,69.38
147,70.18,69.48
148,66.2,69.39
149,64.61,69.36
150,72.17,69.35
151,70.35,69.5
152,70.72,69.55
153,69.87,69.42
154,74.52,69.44
155,68.9,69.4
156,68.87,69.47
157,67.58,69.51
158,65.05,69.4
159,69.22,69.44
160,70.81,69.48
161,65.92,69.65
162,69.42,69.47
163,69.82,69.4
164,68.67,69.43
165,69.48,69.86
166,69.91,69.96
167,69.64,69.38
168,69.56,69.23
169,69.35,69.38
170,69.4,69.38
171,69.03,69.39
172,68.75,69.37
173,68.81,69.38
174,69.92,69.35
175,68.15,69.36
176,76.4,69.19
177,72.03,69.47
178,71.01,69.39
179,70.85,69.36
180,71.26,69.36
181,67.85,69.37
182,66.12,69.36
183,65.87,69.36
184,69.75,69.38
