,real,pred
0,71.1,69.05
1,69.71,68.87
2,69.23,68.7
3,67.09,69.36
4,71.03,68.86
5,68.71,69.5
6,70.72,69.88
7,70.16,69.59
8,71.55,69.79
9,70.2,69.79
10,68.51,69.89
11,70.65,69.93
12,70.37,69.11
13,70.93,69.5
14,70.58,69.63
15,70.41,69.8
16,70.43,69.9
17,68.91,69.74
18,69.1,69.57
19,68.12,69.72
20,67.5,69.38
21,69.42,69.46
22,69.54,68.76
23,66.56,69.54
24,66.44,70.86
25,74.56,69.48
26,73.74,70.0
27,72.19,69.28
28,74.42,70.61
29,73.11,70.25
30,73.3,69.91
31,73.63,69.26
32,67.15,69.37
33,68.82,69.75
34,68.56,69.91
35,71.96,69.9
36,68.18,69.33
37,72.67,69.69
38,78.76,70.25
39,68.43,69.77
40,70.34,68.94
41,66.68,69.43
42,68.21,69.75
43,70.98,69.68
44,71.39,68.82
45,71.0,69.67
46,68.02,69.79
47,73.62,70.08
48,70.34,69.23
49,69.14,69.48
50,69.58,68.61
51,66.75,69.1
52,70.25,68.89
53,65.99,69.65
54,67.38,69.04
55,69.22,70.07
56,70.26,69.08
57,66.02,69.81
58,68.78,69.61
59,69.55,68.69
60,65.92,68.7
61,70.97,69.34
62,70.88,69.09
63,69.68,69.46
64,68.87,69.45
65,68.27,69.18
66,65.36,68.69
67,67.17,68.72
68,83.35,68.79
69,65.78,68.96
70,83.35,68.53
71,71.31,69.03
72,65.38,69.79
73,83.36,69.05
74,61.82,68.62
75,83.35,68.54
76,65.7,69.53
77,68.7,69.63
78,70.44,69.24
79,83.35,69.79
80,83.35,69.18
81,65.48,69.36
82,69.07,69.87
83,83.35,69.45
84,70.97,69.05
85,83.35,68.66
86,66.48,69.18
87,70.33,68.78
88,66.72,68.76
89,67.66,68.54
90,83.35,68.82
91,83.35,68.6
92,67.66,68.6
93,83.36,68.57
94,83.35,68.77
95,68.09,68.84
96,71.48,69.87
97,67.64,69.5
98,72.45,68.59
99,71.74,68.56
100,73.24,69.21
101,72.59,68.75
102,71.31,68.66
103,70.66,68.71
104,71.52,69.36
105,69.75,68.9
106,71.46,69.11
107,71.39,69.64
108,71.0,69.32
109,66.38,68.93
110,71.19,68.71
111,66.95,68.63
112,66.6,68.5
113,71.02,68.61
114,66.74,69.46
115,71.14,69.78
116,67.45,69.21
117,70.31,69.32
118,71.14,69.59
119,66.13,69.04
120,70.35,68.99
121,66.12,69.19
122,65.51,69.72
123,69.58,68.93
124,71.26,68.95
125,66.68,69.77
126,71.86,69.96
127,70.42,69.01
128,72.22,69.13
129,69.85,69.09
130,67.19,69.07
131,67.63,68.64
132,71.21,69.45
133,66.94,69.43
134,66.63,68.74
135,69.43,69.58
136,65.93,68.86
137,68.63,68.72
138,70.53,68.67
139,70.69,68.67
140,65.17,68.5
141,70.89,68.83
142,71.07,69.62
143,71.04,69.47
144,69.09,68.8
145,69.63,69.23
146,66.69,69.39
147,70.65,69.61
148,66.5,68.65
149,70.18,68.96
150,66.2,69.2
151,64.61,69.11
152,72.17,68.95
153,70.35,69.02
154,70.72,68.95
155,69.87,69.44
156,60.98,68.85
157,74.52,69.53
158,68.9,68.81
159,68.87,69.59
160,67.58,69.15
161,65.05,69.51
162,60.93,69.16
163,69.22,68.77
164,70.81,69.03
165,65.92,69.6
166,69.42,69.67
167,69.82,69.51
168,68.67,68.89
169,69.48,68.54
170,69.91,69.16
171,69.64,69.65
172,69.56,69.48
173,69.35,68.96
174,69.4,70.08
175,69.03,69.51
176,68.75,69.24
177,68.81,68.63
178,69.92,69.72
179,68.15,69.1
180,76.4,69.21
181,72.03,68.99
182,71.01,69.15
183,73.21,69.06
184,70.85,68.83
185,58.36,68.86
186,71.26,69.48
187,67.85,68.81
188,66.12,68.59
189,65.87,69.14
190,69.75,69.3
