,real,pred
0,70.34,69.87
1,66.68,69.87
2,68.21,69.63
3,70.98,70.11
4,71.39,70.27
5,71.0,70.73
6,68.02,70.66
7,73.62,70.81
8,70.34,70.79
9,69.14,70.43
10,69.58,70.42
11,66.75,70.27
12,70.25,69.24
13,65.99,70.13
14,67.38,70.07
15,69.22,70.64
16,70.26,69.8
17,66.02,69.29
18,68.78,70.13
19,69.55,69.58
20,65.92,69.31
21,70.97,69.41
22,70.88,69.93
23,69.68,69.8
24,68.87,69.84
25,68.27,70.44
26,65.36,69.53
27,67.17,69.32
28,83.35,69.8
29,65.78,69.28
30,83.35,68.96
31,71.31,69.43
32,65.38,69.53
33,83.36,69.61
34,61.82,69.59
35,83.35,68.81
36,65.7,69.37
37,68.7,69.55
38,70.44,69.29
39,83.35,68.28
40,83.35,68.83
41,65.48,69.13
42,69.07,68.73
43,83.35,68.84
44,70.97,69.49
45,83.35,69.48
46,66.48,69.3
47,70.33,69.24
48,66.72,68.56
49,67.66,68.98
50,83.35,69.36
51,83.35,69.13
52,67.66,69.81
53,83.36,69.57
54,83.35,69.53
55,68.09,69.39
56,71.48,69.44
57,67.64,69.28
58,72.45,68.9
59,71.74,69.12
60,73.24,69.14
61,72.59,70.32
62,71.31,69.71
63,70.66,69.61
64,71.52,70.14
65,69.75,69.25
66,71.46,69.21
67,71.39,69.4
68,71.0,70.01
69,66.38,69.42
70,71.19,69.08
71,66.95,69.26
72,66.6,68.96
73,71.02,69.13
74,66.74,68.35
75,71.14,69.1
76,67.45,69.98
77,70.31,69.46
78,71.14,69.49
79,66.13,69.68
80,70.35,69.99
81,66.12,69.34
82,65.51,69.9
83,69.58,69.89
84,71.26,69.48
85,66.68,69.83
86,71.86,69.11
87,70.42,68.59
88,72.22,69.22
89,69.85,70.05
90,67.19,69.64
91,67.63,68.91
92,71.21,69.47
93,66.94,69.46
94,66.63,70.08
95,69.43,70.03
96,65.93,70.1
97,68.63,69.69
98,70.53,69.35
99,70.69,70.18
100,65.17,69.44
101,70.89,69.62
102,71.07,70.29
103,71.04,69.64
104,69.09,69.6
105,69.63,69.18
106,66.69,70.07
107,70.65,69.2
108,66.5,69.48
109,70.18,69.82
110,66.2,70.05
111,64.61,70.02
112,72.17,69.37
113,70.35,69.52
114,70.72,70.1
115,69.87,69.12
116,60.98,68.61
117,74.52,69.08
118,68.9,68.77
119,68.87,69.57
120,67.58,69.5
121,65.05,68.44
122,60.93,68.87
123,69.22,68.81
124,70.81,69.42
125,65.92,69.45
126,69.42,69.11
127,69.82,69.38
128,68.67,69.15
129,69.48,69.27
130,69.91,69.95
131,69.64,69.29
132,69.56,69.71
133,69.35,69.31
134,69.4,69.19
135,69.03,69.2
136,68.75,68.91
137,68.81,68.55
138,69.92,68.24
139,68.15,68.82
140,76.4,68.91
141,72.03,69.09
142,71.01,69.55
143,73.21,68.96
144,70.85,69.35
145,58.36,69.44
146,71.26,69.83
147,67.85,69.79
148,66.12,69.03
149,65.87,69.83
150,69.75,69.06
