real,pred
70.65,69.42
70.37,69.05
70.93,69.25
70.58,68.84
70.41,69.44
70.43,69.5
68.91,69.88
69.1,69.93
68.12,69.92
67.5,69.65
69.42,69.42
69.54,69.48
66.56,68.93
66.44,69.41
74.56,69.67
73.74,69.37
72.19,69.87
74.42,69.84
73.11,69.7
73.3,69.5
73.63,69.38
67.15,69.22
68.82,69.56
68.56,69.9
71.96,70.06
68.18,70.53
72.67,70.24
78.76,69.67
68.43,69.5
70.34,69.68
66.68,69.31
68.21,69.94
70.98,69.7
71.39,69.63
71.0,69.79
68.02,69.6
73.62,69.49
70.34,69.55
69.14,69.37
69.58,69.43
66.75,69.51
70.25,69.37
65.99,69.34
67.38,69.35
69.22,69.09
70.26,69.13
66.02,69.4
68.78,69.07
69.55,69.03
65.92,68.72
70.97,69.07
70.88,69.0
69.68,68.98
68.87,68.92
68.27,69.34
65.36,69.87
67.17,69.18
83.35,69.16
65.78,68.88
83.35,68.82
71.31,68.84
65.38,68.48
83.36,68.4
83.35,68.46
65.7,68.61
68.7,69.0
70.44,69.11
83.35,68.78
83.35,68.6
65.48,69.03
69.07,69.7
83.35,69.49
70.97,69.65
83.35,70.03
66.48,69.33
70.33,69.26
66.72,68.97
67.66,69.11
83.35,68.88
83.35,69.3
67.66,69.55
83.36,69.58
83.35,69.41
68.09,70.13
71.48,69.88
67.64,70.01
72.45,69.43
71.74,69.86
73.24,69.7
72.59,69.48
71.31,69.52
70.66,70.19
71.52,69.68
69.75,69.31
71.46,69.33
71.39,69.96
71.0,69.88
66.38,70.28
71.19,70.06
66.95,70.05
66.6,69.6
71.02,69.78
66.74,70.27
71.14,70.27
67.45,69.66
70.31,69.29
71.14,69.61
66.13,69.63
70.35,69.03
66.12,69.24
65.51,69.26
69.58,69.18
71.26,69.49
66.68,69.58
71.86,69.55
70.42,69.62
72.22,69.48
69.85,69.8
67.19,70.0
67.63,69.89
71.21,69.48
66.94,69.39
66.63,69.54
69.43,69.79
65.93,69.44
68.63,69.14
70.53,68.71
70.69,68.9
65.17,68.79
70.89,68.97
71.07,68.99
71.04,69.23
69.09,68.88
69.63,69.12
66.69,69.21
70.65,69.73
66.5,69.18
70.18,69.1
66.2,69.1
64.61,69.05
72.17,69.22
70.35,69.08
70.72,69.31
69.87,70.04
74.52,69.82
68.9,69.5
68.87,69.11
67.58,69.16
65.05,69.33
69.22,69.31
70.81,69.09
65.92,68.97
69.42,68.71
69.82,69.22
68.67,69.24
69.48,68.91
69.91,69.49
69.64,69.42
69.56,69.18
69.35,69.67
69.4,69.39
69.03,68.81
68.75,69.34
68.81,69.6
69.92,69.56
68.15,69.33
76.4,69.05
72.03,68.57
71.01,68.51
70.85,69.08
71.26,69.0
67.85,69.05
66.12,69.18
65.87,68.9
69.75,68.67
