,real,pred
0,71.1,68.1
1,69.71,69.06
2,69.23,68.14
3,67.09,68.28
4,71.03,68.77
5,68.71,69.54
6,70.72,71.0
7,70.16,68.82
8,71.55,69.27
9,70.2,69.83
10,68.51,68.97
11,70.65,72.26
12,70.37,69.77
13,70.93,68.67
14,70.58,71.33
15,70.41,70.65
16,70.43,68.2
17,68.91,70.95
18,69.1,68.41
19,68.12,70.69
20,67.5,68.96
21,69.42,68.09
22,69.54,68.33
23,66.56,68.25
24,66.44,74.63
25,74.56,68.09
26,73.74,71.25
27,72.19,69.12
28,74.42,71.56
29,73.11,73.88
30,73.3,68.91
31,73.63,69.19
32,67.15,70.52
33,68.82,70.77
34,68.56,72.6
35,71.96,69.62
36,68.18,69.23
37,72.67,69.91
38,78.76,72.69
39,68.43,72.35
40,70.34,69.74
41,66.68,68.76
42,68.21,71.42
43,70.98,68.95
44,71.39,68.09
45,71.0,70.84
46,68.02,71.0
47,73.62,70.76
48,70.34,68.26
49,69.14,69.81
50,69.58,68.15
51,66.75,70.0
52,70.25,68.37
53,65.99,68.79
54,67.38,68.83
55,69.22,70.34
56,70.26,68.67
57,66.02,68.17
58,68.78,69.47
59,69.55,68.09
60,65.92,68.77
61,70.97,69.63
62,70.88,68.64
63,69.68,69.01
64,68.87,68.44
65,68.27,68.67
66,65.36,68.09
67,67.17,68.09
68,83.35,68.3
69,65.78,68.09
70,83.35,68.09
71,71.31,68.32
72,65.38,69.03
73,83.36,68.18
74,61.82,68.09
75,83.35,68.24
76,65.7,68.37
77,68.7,68.69
78,70.44,69.63
79,83.35,69.26
80,83.35,68.17
81,65.48,68.38
82,69.07,69.56
83,83.35,68.34
84,70.97,68.22
85,83.35,68.09
86,66.48,69.67
87,70.33,68.28
88,66.72,68.09
89,67.66,68.09
90,83.35,68.23
91,83.35,68.09
92,67.66,68.09
93,83.36,68.09
94,83.35,68.56
95,68.09,68.41
96,71.48,68.84
97,67.64,68.14
98,72.45,68.09
99,71.74,68.42
100,73.24,69.39
101,72.59,68.88
102,71.31,68.74
103,70.66,68.36
104,71.52,70.73
105,69.75,68.09
106,71.46,68.73
107,71.39,69.97
108,71.0,68.8
109,66.38,68.82
110,71.19,68.63
111,66.95,68.1
112,66.6,68.14
113,71.02,68.7
114,66.74,70.51
115,71.14,69.01
116,67.45,69.62
117,70.31,71.34
118,71.14,71.58
119,66.13,68.92
120,70.35,69.11
121,66.12,68.24
122,65.51,69.38
123,69.58,68.27
124,71.26,68.47
125,66.68,68.89
126,71.86,70.05
127,70.42,68.13
128,72.22,69.28
129,69.85,69.33
130,67.19,68.32
131,67.63,68.48
132,71.21,69.96
133,66.94,68.44
134,66.63,68.39
135,69.43,69.43
136,65.93,68.65
137,68.63,68.09
138,70.53,68.09
139,70.69,68.3
140,65.17,68.14
141,70.89,69.24
142,71.07,69.97
143,71.04,68.71
144,69.09,68.12
145,69.63,69.32
146,66.69,68.69
147,70.65,69.34
148,66.5,68.35
149,70.18,69.01
150,66.2,70.35
151,64.61,69.16
152,72.17,68.33
153,70.35,69.25
154,70.72,68.76
155,69.87,68.34
156,60.98,68.09
157,74.52,69.41
158,68.9,68.45
159,68.87,69.51
160,67.58,69.7
161,65.05,68.69
162,60.93,68.96
163,69.22,68.74
164,70.81,68.44
165,65.92,69.76
166,69.42,70.16
167,69.82,69.16
168,68.67,68.14
169,69.48,68.59
170,69.91,69.59
171,69.64,69.06
172,69.56,69.68
173,69.35,69.29
174,69.4,71.53
175,69.03,68.48
176,68.75,69.24
177,68.81,68.42
178,69.92,68.93
179,68.15,68.55
180,76.4,68.16
181,72.03,68.09
182,71.01,68.67
183,73.21,68.65
184,70.85,68.5
185,58.36,70.2
186,71.26,69.57
187,67.85,68.34
188,66.12,68.13
189,65.87,69.72
190,69.75,68.71
